sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2023-03-23_23:28:45_563 GMT+8
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
146,365135062,0.647001,-0.370167,-0.575215,-0.336888,-0.011464,-0.002007,0.009109
147,365151729,0.647000,-0.370177,-0.575202,-0.336902,0.007044,0.005727,0.004794
148,365168396,0.646997,-0.370187,-0.575192,-0.336912,0.002035,-0.003482,0.019511
149,365185063,0.646995,-0.370195,-0.575187,-0.336918,-0.008285,-0.009489,0.021311
150,365201730,0.646994,-0.370197,-0.575184,-0.336922,0.000041,-0.009197,0.026033
151,365218397,0.646991,-0.370197,-0.575182,-0.336931,0.007099,-0.000498,0.007647
152,365235064,0.646993,-0.370200,-0.575179,-0.336928,0.005288,-0.009737,0.012242
153,365251731,0.646992,-0.370204,-0.575177,-0.336931,-0.003223,-0.006082,0.014640
154,365268398,0.646987,-0.370221,-0.575161,-0.336949,-0.006017,0.014715,0.011542
155,365285065,0.646980,-0.370238,-0.575155,-0.336953,-0.006809,0.024895,0.020176
156,365301732,0.646965,-0.370243,-0.575154,-0.336979,-0.013266,0.008910,0.011230
157,365318399,0.646957,-0.370258,-0.575145,-0.336992,-0.004468,-0.011783,0.008288
158,365335066,0.646962,-0.370270,-0.575129,-0.336996,0.000829,-0.000497,0.008607
159,365351733,0.646956,-0.370285,-0.575126,-0.336997,-0.006211,0.000369,0.007628
160,365368400,0.646962,-0.370283,-0.575131,-0.336980,-0.000881,-0.009603,0.012568
161,365385067,0.646967,-0.370275,-0.575128,-0.336984,0.001787,0.020503,0.009461
162,365401734,0.646961,-0.370283,-0.575126,-0.336989,-0.017986,0.014334,0.009830
163,365418401,0.646961,-0.370282,-0.575124,-0.336995,-0.006564,0.009750,0.021639
164,365435068,0.646959,-0.370280,-0.575121,-0.337006,-0.003741,-0.007430,0.009858
165,365451735,0.646967,-0.370271,-0.575122,-0.336999,0.013277,0.002177,0.022223
166,365468402,0.646958,-0.370284,-0.575120,-0.337004,0.000278,0.002888,0.007138
167,365485069,0.646968,-0.370288,-0.575107,-0.337004,0.000796,-0.002220,0.015398
168,365501736,0.646970,-0.370289,-0.575103,-0.337006,-0.006344,0.003234,0.003866
169,365518403,0.646968,-0.370298,-0.575102,-0.337000,0.005630,0.003796,0.022346
170,365535070,0.646967,-0.370305,-0.575098,-0.337002,-0.006947,-0.001630,0.023476
171,365551737,0.646965,-0.370302,-0.575103,-0.337000,0.002823,0.015558,0.019175
172,365568404,0.646973,-0.370304,-0.575097,-0.336993,0.008483,-0.013628,0.002119
173,365585071,0.646964,-0.370315,-0.575101,-0.336991,-0.009388,-0.002670,0.012519
174,365601738,0.646966,-0.370316,-0.575096,-0.336996,-0.002936,0.018298,0.020967
175,365618405,0.646966,-0.370323,-0.575094,-0.336992,-0.006825,-0.003356,0.018188
176,365635072,0.646957,-0.370342,-0.575090,-0.336994,-0.000255,-0.000377,0.017732
177,365651739,0.646952,-0.370356,-0.575085,-0.336998,-0.003464,0.006008,0.007298
178,365668406,0.646948,-0.370358,-0.575090,-0.336994,-0.001744,0.015384,0.011312
179,365685073,0.646948,-0.370372,-0.575078,-0.336999,0.001520,-0.013168,0.010594
180,365701740,0.646946,-0.370376,-0.575076,-0.337001,-0.009216,0.032227,0.007001
181,365718407,0.646954,-0.370360,-0.575070,-0.337014,-0.012589,0.003123,0.017945
182,365735074,0.646946,-0.370367,-0.575071,-0.337020,-0.007531,0.016503,0.022693
183,365751741,0.646948,-0.370369,-0.575076,-0.337006,0.010355,-0.006706,0.029112
184,365768408,0.646935,-0.370383,-0.575070,-0.337025,-0.009332,0.022423,0.018230
185,365785075,0.646928,-0.370377,-0.575078,-0.337032,0.004259,0.009141,0.016398
186,365801742,0.646913,-0.370408,-0.575059,-0.337059,-0.019101,0.010082,0.012271
187,365818409,0.646913,-0.370410,-0.575056,-0.337063,0.008847,-0.009795,0.009676
188,365835076,0.646921,-0.370399,-0.575054,-0.337063,0.004309,-0.013355,0.006977
189,365851743,0.646918,-0.370399,-0.575058,-0.337060,-0.000472,0.017897,0.008140
190,365868410,0.646910,-0.370401,-0.575063,-0.337067,-0.012103,0.015275,0.004115
191,365885077,0.646904,-0.370400,-0.575062,-0.337079,0.005968,0.001578,0.007301
192,365901744,0.646903,-0.370399,-0.575063,-0.337083,0.011044,-0.002601,0.022159
193,365918411,0.646906,-0.370390,-0.575063,-0.337086,0.006892,-0.019348,0.015617
194,365935078,0.646899,-0.370409,-0.575056,-0.337090,-0.003440,0.012698,0.024674
195,365951745,0.646895,-0.370403,-0.575060,-0.337098,-0.012601,0.013678,0.012423
196,365968412,0.646900,-0.370394,-0.575066,-0.337087,0.001920,0.002153,0.009134
197,365985079,0.646895,-0.370399,-0.575065,-0.337093,-0.003297,0.002283,0.003874
198,366001746,0.646903,-0.370387,-0.575062,-0.337098,0.000574,0.004540,0.002695
199,366018413,0.646899,-0.370389,-0.575055,-0.337113,0.008757,0.005582,0.013575
200,366035080,0.646893,-0.370402,-0.575038,-0.337139,-0.002173,0.008447,0.002830
201,366051747,0.646901,-0.370401,-0.575020,-0.337155,-0.007041,0.007823,0.000911
202,366068414,0.646908,-0.370402,-0.575010,-0.337158,0.004656,0.001081,0.014570
203,366085081,0.646905,-0.370395,-0.575013,-0.337167,0.010269,-0.022094,0.005318
204,366101748,0.646902,-0.370397,-0.575016,-0.337165,-0.006226,-0.009674,0.011851
205,366118415,0.646887,-0.370405,-0.575021,-0.337178,-0.000554,0.009510,-0.002478
206,366135082,0.646888,-0.370404,-0.575014,-0.337187,-0.013687,0.006614,0.008501
207,366151749,0.646890,-0.370399,-0.575010,-0.337196,-0.007452,0.013190,0.021486
208,366168416,0.646888,-0.370399,-0.575014,-0.337193,0.006480,0.005299,0.016733
209,366185083,0.646890,-0.370392,-0.575008,-0.337208,-0.012573,-0.000812,0.010960
210,366201750,0.646886,-0.370390,-0.575019,-0.337200,-0.003707,0.014512,0.017351
211,366218417,0.646889,-0.370392,-0.575016,-0.337196,-0.009164,0.004301,0.010927
212,366235084,0.646887,-0.370385,-0.575018,-0.337203,-0.001011,0.003531,0.013028
213,366251751,0.646878,-0.370405,-0.575011,-0.337212,-0.002186,0.008666,0.015088
214,366268418,0.646872,-0.370409,-0.575017,-0.337209,-0.001432,-0.017437,0.000655
215,366285085,0.646875,-0.370411,-0.575009,-0.337214,-0.005795,-0.004774,0.011291
216,366301752,0.646878,-0.370417,-0.575004,-0.337210,-0.001580,-0.010960,0.010758
217,366318419,0.646876,-0.370427,-0.574997,-0.337214,-0.011856,-0.004892,0.017511
218,366335086,0.646863,-0.370439,-0.575001,-0.337220,-0.005039,-0.008570,0.026188
219,366351753,0.646861,-0.370447,-0.574991,-0.337231,0.002844,-0.017549,0.010736
220,366368420,0.646858,-0.370447,-0.574986,-0.337246,-0.001504,-0.008249,0.002158
221,366385087,0.646850,-0.370438,-0.575000,-0.337248,0.007721,-0.001989,0.023641
222,366401754,0.646850,-0.370444,-0.574992,-0.337255,0.005317,-0.005952,0.008570
223,366418421,0.646843,-0.370462,-0.574993,-0.337246,0.005722,-0.004923,0.004324
224,366435088,0.646841,-0.370474,-0.574995,-0.337234,-0.018048,0.009622,0.010731
225,366451755,0.646830,-0.370492,-0.574987,-0.337248,0.004023,-0.011637,0.011596
226,366468422,0.646844,-0.370481,-0.574990,-0.337229,0.011023,-0.010662,0.013175
227,366485089,0.646847,-0.370493,-0.574976,-0.337234,-0.002696,0.016123,0.020915
228,366501756,0.646848,-0.370489,-0.574973,-0.337242,0.000156,-0.016816,0.017587
229,366518423,0.646846,-0.370491,-0.574970,-0.337248,0.008660,0.002424,0.011787
230,366535090,0.646840,-0.370490,-0.574975,-0.337251,-0.016970,-0.001091,0.013585
231,366551757,0.646840,-0.370491,-0.574971,-0.337257,-0.006192,0.001155,0.019001
232,366568424,0.646842,-0.370493,-0.574968,-0.337255,-0.002283,0.009180,0.025114
233,366585091,0.646838,-0.370497,-0.574972,-0.337254,-0.007872,0.008037,0.015042
234,366601758,0.646839,-0.370502,-0.574960,-0.337266,-0.008062,0.003285,0.018266
235,366618425,0.646833,-0.370510,-0.574959,-0.337270,0.003525,-0.000976,0.015471
236,366635092,0.646826,-0.370523,-0.574956,-0.337274,-0.002333,0.002881,0.007878
237,366651759,0.646827,-0.370517,-0.574956,-0.337280,-0.000078,-0.007746,0.027116
238,366668426,0.646815,-0.370524,-0.574957,-0.337293,-0.006855,-0.010407,0.005515
239,366685093,0.646836,-0.370487,-0.574958,-0.337293,-0.016144,0.025031,0.012889
